"Year","Country Name","Country Code","Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, value added (% of GDP)","Exports of goods and services (% of GDP)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","Immunization, measles (% of children ages 12-23 months)","Imports of goods and services (% of GDP)","Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Internet users (per 100 people)","Life expectancy at birth, total (years)","Merchandise trade (% of GDP)","Military expenditure (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000)","Population growth (annual %)","Population, total","Prevalence of HIV, total (% of population ages 15-49)","Renewable internal freshwater resources per capita (cubic meters)","Services, etc., value added (% of GDP)","Surface area (sq. km)","Time required to start a business (days)","Workers' remittances and compensation of employees, received (current US$)"
2007,"Algeria","DZA",7.339,8.17792509967543,47.1298698257936,2.383,1.6646E9,1.34304104724814E11,2.99999999999999,3610.0,7650.0,1.22195605953918E11,2.58946303102235E11,92.0,23.5531153063549,61.0919805828934,6.79210012490942,10.338916903211,72.250243902439,65.3696774047883,2.93798757817369,81.4196204875636,37.0,1.49261743944306,3.38526756019577E7,0.1,332.233709744041,30.7300987725309,2381740.0,24.0,2.12E9
2007,"Argentina","ARG",56.9,9.39487471301088,24.6265468941767,2.254,6.46221E9,2.62450806576364E11,8.65333684642083,6040.0,12970.0,2.3873326402811E11,5.12408064974433E11,99.0,20.3371259842742,33.7362018117639,14.1649276632303,25.9380936032738,75.2185365853659,38.2874037656128,0.749825379800461,102.27399274579,16.3,0.938917246582669,3.95034660477389E7,0.5,6986.72870037432,56.8689234752252,2780400.0,31.0,6.0661E8
2007,"Austria","AUT",12.779,1.94127332713244,58.8590648085428,1.38,3.07168498614728E10,3.73192406657177E11,3.35482478713357,41970.0,36750.0,3.48968487465682E11,3.05585475953451E11,79.0,51.5702721208438,31.1858293967154,2.29604922005144,67.3651515430296,80.0317073170732,87.6359346937184,0.941066706079489,119.200132476661,4.4,0.397678512654407,8315427.0,0.2,6614.2123549398,66.8728972761521,83870.0,28.0,2.96477E9
2007,"Azerbaijan","AZE",33.849,5.90592094460309,68.129739214943,2.0,-4.74888E9,3.3049963583394E10,25.049,2710.0,6630.0,2.32411034338042E10,5.68712185605215E10,97.0,28.5131963193294,68.5135448850671,20.9840366340144,10.7979241789015,67.380243902439,82.6455857691901,2.86308663305243,52.6611475981611,39.3,1.13361074769076,8581279.0,0.2,945.663228057263,25.5805341703298,86600.0,36.0,1.2873E9
2007,"Belarus","BLR",21.262,9.23227980464616,61.0446321886517,1.287,1.7852E9,4.5275711995825E10,8.60000078498793,4240.0,10790.0,4.11799796062348E10,1.04654652636861E11,99.0,67.0933965108943,41.7343425886207,12.8727082724944,28.9605236033807,70.2034146341464,116.990637286686,1.64976591437478,71.7377860235003,13.4,-0.313875067944899,9702000.0,0.2,3834.26097711812,49.0333776067331,207600.0,48.0,3.542E8
2007,"Belgium","BEL",7.722,0.872525635537072,89.4102176541717,1.81,7.21947729373998E10,4.52753750136866E11,2.79911428026702,41120.0,35320.0,4.36888983805468E11,3.75270057161876E11,92.0,86.5120918984281,24.0736210493412,1.63306902809779,65.9384322915196,80.2207317073171,186.824310074583,1.14056831922612,101.058010295792,4.6,0.734330830765897,1.06257E7,0.2,1129.33736130326,75.0538533151217,30530.0,4.0,8.55668E9
2007,"Bolivia","BOL",78.2,12.877394394968,41.7956567499272,3.5,2.0422E8,1.31200996588109E10,-2.73875693324044E-6,1220.0,3960.0,1.16248673353398E10,3.76983546746413E10,81.0,34.2662546827355,36.3892842805827,12.2742894282174,10.5069197042762,65.5129268292683,60.329267351902,1.74547545888774,34.1938245547936,57.4,1.73485308045373,9517537.28157844,0.2,31891.7584475865,50.7333213244494,1098580.0,50.0,9.26512E8
2007,"Botswana","BWA",52.128,1.81598153226791,47.0402280527215,2.896,-2.856E7,1.23238066006931E10,4.2450357432197,6100.0,12760.0,1.14843943156807E10,2.4007473227571E10,90.0,36.6134773630586,49.2891146337194,12.970568873305,5.31510175273334,50.5875609756098,74.8083697246716,2.57093582929912,61.217269098299,39.7,1.24445716525646,1881431.5257196,23.9,1275.624420656,48.8949038340127,581730.0,108.0,1.41159E8
2007,"Brazil","BRA",75.6,5.98222907022607,13.681763743686,1.9,3.45849E10,1.33327054355079E12,5.66950647970702,6060.0,9510.0,1.15126464901383E12,1.80789147717127E12,99.0,12.1405014068696,28.0510308209644,3.73212871576567,35.5093676496257,72.2807317073171,21.5422894767538,1.49098537078877,63.6335510107709,21.7,1.03710622164022,1.90119995E8,0.6,28497.7916183934,65.9667401088095,8514880.0,152.0,4.38244E9
2007,"Cambodia","KHM",39.217,31.8841789699457,65.3313199493381,3.175,8.6729E8,8.3569089796267E9,10.2046015509322,550.0,1720.0,7.99329997527734E9,2.49166897156764E10,79.0,72.9481546835714,26.7730459134589,6.51822133544999,0.484561306582459,59.5292682926829,113.829168454398,1.10732773803445,17.8825135056855,90.9,1.74181947866129,1.44460564739888E7,0.8,8346.22239066386,41.3427751165954,181040.0,86.0,3.5257E8
